date,category,amount,description
2026-06-01,Food,450,Groceries
2026-06-03,Transport,120,Metro card recharge
2026-06-05,Food,680,Dinner with friends
2026-06-07,Bills,1500,Electricity bill
2026-06-10,Shopping,2200,New headphones
2026-06-12,Food,300,Lunch
2026-06-15,Entertainment,600,Movie tickets
2026-06-18,Transport,80,Auto fare
2026-06-20,Bills,999,Internet bill
2026-06-25,Food,520,Groceries
2026-06-28,Shopping,1450,Clothes
2026-07-02,Food,410,Groceries
2026-07-05,Transport,150,Cab
2026-07-08,Entertainment,350,Streaming subscription
